Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,15.631986,16.297667,15.379487,15.976303,15.025875,831759
2002-07-02,15.379487,16.343575,15.379487,16.297667,15.328119,664008
2002-07-03,16.527210,16.527210,16.045168,16.136984,15.176995,564071
2002-07-04,16.412437,16.641981,16.182894,16.527210,15.544005,1127138
2002-07-05,16.091076,16.274712,15.609032,15.700850,14.766807,886627
2002-07-08,15.723804,15.930394,15.494260,15.609032,14.680451,561511
2002-07-09,15.746759,15.769713,15.356533,15.402442,14.486153,645430
2002-07-10,15.700850,15.815622,15.310624,15.356533,14.442976,824759
2002-07-11,15.609032,15.609032,14.920398,14.966307,14.075961,1085298
2002-07-12,15.241760,15.241760,14.667899,14.736762,13.860074,1190587
2002-07-15,14.690853,14.851535,14.530172,14.599036,13.730538,601900
2002-07-16,14.208810,14.690853,14.208810,14.576081,13.708952,481133
2002-07-17,14.507218,14.667899,14.254719,14.346537,13.493062,481361
2002-07-18,14.736762,14.805626,14.461309,14.507218,13.644185,242271
2002-07-19,14.644945,14.667899,14.461309,14.507218,13.644185,268673
2002-07-22,14.599036,14.644945,14.231764,14.438354,13.579417,422784
2002-07-23,14.461309,14.461309,14.025174,14.277673,13.428295,476780
2002-07-24,14.323582,14.323582,14.002220,14.139946,13.298761,245518
2002-07-25,14.461309,14.690853,14.300628,14.323582,13.471474,386192
2002-07-26,14.048129,14.231764,13.841538,14.002220,13.169230,429509
2002-07-29,14.461309,14.461309,13.887447,14.002220,13.169230,482230
2002-07-30,14.461309,14.461309,13.933356,13.979265,13.147640,458984
2002-07-31,14.002220,14.507218,13.451313,14.392445,13.536240,930917
2002-08-01,14.231764,14.277673,13.726766,13.887447,13.061283,605368
2002-08-02,13.818584,13.910402,13.680857,13.841538,13.018106,275205
2002-08-05,13.910402,14.002220,13.818584,13.864493,13.039695,130495
2002-08-06,13.933356,13.933356,13.726766,13.772675,12.953338,265438
2002-08-07,13.979265,14.025174,13.680857,13.772675,12.953338,289381
2002-08-08,13.933356,13.933356,13.703812,13.772675,12.953338,179076
2002-08-09,13.749721,13.864493,13.703812,13.772675,12.953338,220985
2002-08-12,13.772675,13.910402,13.680857,13.887447,13.061283,162112
2002-08-13,13.841538,14.002220,13.772675,13.933356,13.104461,69346
2002-08-14,13.841538,14.002220,13.841538,13.910402,13.082871,80766
2002-08-15,13.910402,13.910402,13.910402,13.910402,13.082871,0
2002-08-16,14.002220,14.576081,13.887447,14.392445,13.536240,323878
2002-08-19,14.323582,14.920398,14.139946,14.805626,13.924838,373866
2002-08-20,15.058125,15.425396,14.736762,15.195852,14.291853,650490
2002-08-21,15.494260,15.494260,14.690853,15.264715,14.356619,272707
2002-08-22,15.379487,15.379487,14.759717,14.828580,13.946430,186360
2002-08-23,14.920398,15.149943,14.736762,14.943352,14.054374,168751
2002-08-26,15.058125,15.149943,14.782671,14.851535,13.968019,95105
2002-08-27,14.851535,14.943352,14.713808,14.736762,13.860074,127986
2002-08-28,14.828580,14.828580,14.438354,14.667899,13.795306,175578
2002-08-29,14.690853,14.736762,14.254719,14.277673,13.428295,130440
2002-08-30,14.231764,15.104034,14.162901,14.920398,14.032784,466436
2002-09-02,15.149943,15.540168,14.989261,15.126988,14.227085,451535
2002-09-03,15.035170,15.035170,14.736762,14.897444,14.011195,206689
2002-09-04,14.690853,15.425396,14.690853,15.104034,14.205497,387018
2002-09-05,15.287669,15.379487,15.104034,15.149943,14.248675,245348
2002-09-06,15.379487,15.379487,14.828580,14.920398,14.032784,228774
2002-09-09,14.736762,15.104034,14.576081,14.621990,13.752130,438962
2002-09-10,14.621990,14.621990,14.621990,14.621990,13.752130,0
2002-09-11,14.966307,14.966307,14.553127,14.644945,13.773718,84131
2002-09-12,14.690853,15.746759,14.599036,14.920398,14.032784,552709
2002-09-13,15.126988,15.838576,14.920398,15.631986,14.702039,2765639
2002-09-16,15.700850,16.228802,14.897444,15.723804,14.788397,1075285
2002-09-17,15.953349,16.091076,15.609032,15.999258,15.047462,2606142
2002-09-18,16.022211,16.182894,15.677895,15.746759,14.809984,424551
2002-09-19,15.425396,16.068121,14.071083,14.415400,13.557829,7020799
2002-09-20,14.461309,15.677895,14.231764,15.471305,14.550917,1248116
2002-09-23,15.540168,15.563123,14.920398,14.989261,14.097550,169851
2002-09-24,14.920398,14.920398,14.231764,14.300628,13.449884,1028804
2002-09-25,14.231764,14.966307,14.185855,14.530172,13.665773,738351
2002-09-26,14.461309,14.736762,14.323582,14.392445,13.536240,329894
2002-09-27,14.644945,14.851535,14.346537,14.690853,13.816895,292975
